ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
1,4,2,2,3,1,1,1,1,4,2,5,2,1,4,1,1
2,3,3,3,3,3,4,4,4,5,5,6,4,4,5,4,2
3,4,4,4,3,5,5,4,4,5,5,5,5,2,5,2,1
4,4,3,4,5,3,3,5,4,5,5,6,4,5,4,3,3
5,3,4,4,4,3,2,4,3,3,4,4,3,3,3,3,2
6,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3
7,3,3,3,4,3,3,5,3,5,5,5,4,3,3,3,3
8,3,3,4,4,5,5,5,3,3,4,4,4,3,5,3,2
9,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3
10,4,4,4,3,3,3,3,4,4,4,4,4,3,4,3,4
11,1,1,2,1,2,4,4,2,3,2,4,1,1,1,2,1
12,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4
13,3,3,3,3,3,1,5,5,5,5,6,1,1,1,1,1
14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
15,3,3,4,5,4,4,4,4,5,6,6,4,4,5,4,4
16,4,1,1,1,2,1,3,3,3,3,2,3,2,2,1,1
17,3,3,4,3,4,3,4,5,4,3,3,3,3,3,4,2
18,4,5,4,1,3,6,6,1,4,5,6,6,2,2,1,1
19,4,4,4,1,3,2,2,2,2,3,5,1,1,4,1,2
20,4,4,1,3,1,1,1,1,2,4,1,1,1,1,1,2
21,5,6,5,5,2,2,2,2,2,5,6,3,1,1,1,1
22,4,4,5,4,4,4,6,4,4,6,6,4,4,4,2,2
23,3,5,2,1,1,1,1,1,1,1,6,1,1,1,1,1
24,4,4,4,3,2,1,1,4,1,5,2,3,1,1,1,1
25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,1,1,1,1,1,1,4,1,1,1,4,1,1,4,1,1
27,4,3,2,2,2,2,2,2,2,4,2,2,2,2,2,2
28,3,2,4,2,2,4,5,5,5,6,5,2,3,4,2,1
29,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4
30,6,6,5,2,2,4,4,1,6,6,6,1,1,6,1,1
31,3,3,4,5,3,3,5,4,5,5,6,3,3,4,5,1
32,3,3,3,3,3,3,5,3,5,5,4,4,4,4,5,2
33,4,4,5,5,2,3,5,3,4,2,5,3,2,2,4,5
34,3,3,3,3,3,3,5,3,3,3,5,3,3,3,5,2
35,4,3,2,3,3,4,5,3,2,3,4,3,2,2,3,1
36,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1
37,3,3,4,3,4,3,3,5,4,4,3,4,4,3,4,4
38,4,3,4,4,2,1,6,3,4,5,4,4,2,5,3,2
39,4,3,3,4,3,3,4,3,3,4,4,3,3,3,3,3
40,2,2,2,2,2,2,5,4,2,2,2,2,2,2,3,2
41,3,3,5,1,4,1,4,1,5,6,4,1,1,4,4,4
42,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
43,3,2,3,2,4,3,4,5,4,5,5,2,3,5,5,2
44,2,2,1,1,2,2,5,4,3,4,5,5,1,5,4,2
45,2,2,3,4,3,1,4,4,2,4,4,2,1,1,5,1
46,3,2,4,5,4,3,5,4,3,5,5,4,2,3,4,3
47,4,4,4,4,5,5,4,5,5,5,6,6,5,5,3,2
48,3,3,3,4,3,3,5,3,4,5,4,3,3,4,3,2
49,3,3,2,4,2,1,4,4,5,5,6,4,3,3,4,4
50,4,3,3,4,3,4,4,5,4,4,3,4,5,5,4,4
51,3,3,3,3,3,3,4,4,3,6,6,3,3,3,3,2
52,6,4,2,1,2,2,6,2,2,6,4,4,2,2,2,2
53,2,2,1,3,1,1,3,1,1,1,3,2,1,1,1,1
54,5,4,5,5,4,3,6,5,5,5,5,4,4,5,4,4
55,6,5, ,5,3,3,4,3,3,3,3,4,3,3,5,4
56,4,4,4,4,3,3,5,4,4,4,4,4,4,4,5,3
57,4,4,4,4,2,2,5,4,2,3,4,3,3,3,3,1
58,3,3,3,4,3,3,4,4,4,5,5,4,3,3,5,3
59,5,5,4,5,2,1,6,4,2,4,5,3,3,3,4,2
60,5,4,4,4,3,3,5,5,5,5,5,3,3,3,3,1
61,6,6,4,6,5,6,5,6,5,6, ,1,6,1,6,6
62,4,4,4,4,4,4,5,2,2,3,5,2,2,2,2,2
63,4,4,4,4,4,4,5,4,5,4,4,2,2,2,2,2
64,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
65,3,3,3,4,3,2,5,5,3,2,5,2,3,3,3,3
66,3,2,2,3,2,2,5,4,3,2,2,2,3,3,2,1
67,4,4,5,3,2,1,5,5,3,2,4,3,2,2,2,2
68,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2
69,2,2,2,4,2,2,5,5,5,3,5,4,5,3,5,2
70,6,6,5,3,4,1,5,6,4,3,3,3,3,3,3,2
71,1,1,1,4,3,1,5,3,3,3,6,6,3,3,3,3
72,4,3,2,3,4,3,3,2,3,4,3,2,2,3,3,1
73,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
74,1,2,1,1,2,1,1,1,3,2,6,5,5,5,3,4
75,4,3,5,4,4,6,5,4,4,3,4,5,5,6,5,5
76,4,2,4,5,2,1,2,2,2,3,4,2,2,2,1,1
77,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
78,5,4,3,4,3,4,5,3,2,3,5,3,2,4,1,1
79,5,5,5,4,4,5,6,4,5,4,5,5,3,5,3,3
80,4,4,4,2,4,5,3,3,3,4,4,4,3,5,2,1
81,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
82,3,3,3,3,3,4,2,2,2,2,3,4,2,4,4,1
83,4,4,5,4,6,6,3,3,5,4,6,5,3,5,3,2
84,4,3,4,2,4,5,4,2,3,3,2,5,2,6,4,1
85,4,4,4,4,4,5,3,4,5,4,6,5,3,5,5,2
86,1,2,1,4,1,1,1,1,1,1,5,1,1,1,1,1
87,4,4,5,4,4,6,5,4,5,4,4,4,4,5,5,6
88,5,5,5,3,5,5,4,4,4,4,5,5,5,5,4,4
89,3,3,3,3,4,4,2,4,4,3,3,5,3,3,4,6
90,4,3,3,3,4,5,4,4,5,3,4,4,3,4,5,3
91,3,4,2,3,4,3,3,4,4,4,3,4,2,4,5,5
92,3,3,4,4,4,5,5,3,5,5,5,4,4,5,3,4
93,4,3,4,3,4,4,3,3,4,3,4,3,3,3,3,4
94,3,3,4,3,4,4,3,4,4,3,3,6,3,4,4,5
95,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,2
96,3,3,3,2,3,3,3,3,4,3,3,4,3,4,2,1
97,4,3,5,3,5,5,4,6,5,4,4,4,5,5,5,4
98,3,4,4,1,4,5,4,4,4,3,3,6,3,4,4,1
99,4,4,4,3,5,5,5,6,6,4,4,4,4,4,4,2
100,2,2,3,4,5,4,3,4,4,4,4,4,3,4,4,3
101,5,5,3,3,4,4,2,4,2,2,2,4,2,4,2,2
102,4,5,4,3,4,3,3,3,4,3,4,4,3,3,3,3
103,5,5,3,1,3,2,2,1,2,5,6,1,1,4,1,4
104,6,6,6,4,6,3,1,1,1,5,6,6,5,6,2,1
105,4,4,4,1,2,2,2,2,5,5,2,2,2,2,2,2
106,4,5,5,5,5,6,3,4,3,6,6,6,3,6,3,4
107,2,2,2,5,5,5,5,2,5,4,5,5,5,5,5,2
108,3,3,4,3,3,4,2,3,3,5,5,3,3,4,3,3
109,1,1,6,6,4,1,6,1,1,1,1,1,1,6,1,1
110,5,6,5,5,4,6,5,5,3,5,4,4,5,6,4,4
111,3,4,2,3,1,3,2,4,3,2,4,5,4,1,2,4
112,6,4,2,5,5,5,1,1,1,1,2,2,4,6,1,1
113,3,3,3,1,3,3,2,1,2,5,5,3,3,5,1,1
114,4,4,4,1,4,4,2,2,2,3,4,3,3,4,4,4
115,4,4,4,3,3,2,2,2,2,3,4,3,2,3,2,3
116,4,4,4,5,3,5,3,3,3,3,5,3,3,3,3,3
117,4,4,4,4,4,4,4,4,4,6,4,2,3,3,3,4
118,5,5,5,3,3,5,5,3,4,5,4,2,2,6,1,1
119,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
120,4,4,3,1,4,5,1,1,2,1,3,2,2,4,1,1
121,4,5,5,4,6,4,3,4,3,3,3,4,3,4,4,4
122,3,3,4,4,4,4,3,4,5,5,4,4,5,4,5,5
123,2,1,1,1,2,2,2,2,2,2,4,4,4,4,3,1
124,4,4,4,4,4,4,4,3,3,3,4,4,3,5,3,2
125,4,3,4,3,3,3,3,4,3,2,3,4,4,3,3,3
126,4,5,5,5,4,4,4,4,5,4,5,5,5,5,4,4
127,4,4,5,3,4,4,4,4,3,3,3,4,3,4,3,4
128,3,3,3,3,5,4,3,4,5,4,3,4,4,4,4,5
129,4,3,3,3,3,4,4,3,4,4,4,3,3,3,4,3
130,5,5,5,3,5,5,5,5,5,5,5,5,2,2,4,4
131,4,4,4,3,4,4,3,4,4,4,4,3,3,4,4,4
132,4,5,2,5,2,4,2,5,4,2,5,4,5,3,2,5
133,2,2,2,2,4,4,3,3,4,3,3,4,4,4,2,2
134,5,5,5,2,4,5,3,6,6,6,3,4,4,4,4,5
135,1,1,3,4,6,1,1,1,1,2,4,3,1,2,4,1
136,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
137,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
138,4,3,3,2,3,4,4,3,3,2,3,4,6,5,4,4
139,3,4,2,3,5,5,4,4,4,3,4,5,3,4,3,3
140,3,3,3,3,4,3,3,4,4,3,3,3,3,4,3,3
141,4,4,4,2,6,4,2,3,3,3,3,3,3,4,1,3
142,4,3,4,4,4,5,5,3,5,3,3,5,5,5,5,4
143,3,2,2,2,4,3,3,3,4,3,4,3,3,3,3,3
144,5,6,6,4,5,4,4,4,4,4,4,4,5,5,4,4
145,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
146,5,5,5,3,5,5,4,4,4,4,5,5,4,4,5,4
147,3,3,3,3,4,4,3,3,4,4,4,5,2,2,5,3
148,4,4,4,3,4,4,5,4,4,4,3,2,4,4,3,4
149,3,3,4,3,4,3,3,3,3,3,3,3,3,4,4,5
150,5,5,5,2,4,6,6,5,6,6,6,4,4,6,5,2
151,4,4,4,3,3,3,4,3,3,3,4,4,3,3,3,3
152,3,3,3,3,2,4,3,4,4,3,3,2,3,2,3,1
153,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2
154,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1
155,2,3,2,1,1,1,2,2,2,2,1,1,1,2,3,3
156,3,3,4,3,4,4,3,4,4,4,4,5,4,5,3,3
157,3,3,3,4,5,4,2,4,4,4,5,4,4,5,4,1
158,4,4,5,4,5,5,4,5,5,5,4,3,4,5,4,3
159,5,5,3,5,5,6,2,4,5,3,5,5,2,4,2,2
160,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
161,3,3,4,3,4,4,3,4,4,4,4,5,4,5,3,3
162,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,4,4,4,3,4,4,3,4,4,3,3,3,3,3,4,4
165,1,1,4,1,4,3,1,5,4,1,1,4,2,4,1,1
166,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
167,4,5,4,6,6,6,3,3,3,5,6,3,3,5,3,3
168,4,5,5,3,5,4,1,1,3,4,4,4,3,5,4,1
169,5,5,5,5,4,6,6,4,6,4,5,6,4,5,5,3
170,4,4,4,4,4,5,5,3,5,4,6,3,2,5,4,2
171,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3
172,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4
173,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3
174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
175,3,2,2,2,4,4,4,3,3,2,3,4,4,4,4,1
176,5,5,4,5,5,4,5,4,4,5,4,3,4,4,2,1
177,4,4,3,1,3,2,2,2,2,3,5,4,3,3,1,4
178,5,5,5,6,5,5,4,5,6,5,5,5,5,5,4,5
179,4,3,3,3,5,5,3,3,3,3,5,3,3,5,2,2
180,4,4,4,2,2,3,1,1,1,1,1,1,1,1,1,1
181,4,5,3,4,4,4,5,5,6,4,5,5,5,4,4,4
182,3,3,3,3,5,5,3,3,4,5,5,2,3,5,2,2
183,4,4,4,5,5,4,3,5,5,4,4,5,3,3,4,3
184,6,5,5,5,5,5,5,5,6,5,6,5,5,5,5,1
185,4,4,5,3,5,5,4,4,5,3,4,5,5,5,3,1
186,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
187,4,4,5,4,5,5,4,5,5,4,5,5,4,5,4,4
188,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
189,3,3,3,2,4,4,3,3,4,3,2,2,2,2,2,1
190,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,2
191,4,4,4,4,5,3,3,4,3,4,4,6,4,5,3,4
192,4,3,4,4,4,4,4,4,4,2,4,2,2,4,3,1
193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,4,3,4,3,4,5,3,4,5,1,2,3,4,3,4,1
195,4,4,3,4,3,4,3,4,4,3,3,3,2,2,2,2
196,3,3,4,2,4,4,4,5,5,1,3,3,4,4,4,1
197,5,5,5,2,5,5,2,5,5,2,5,5,5,5,2,2
198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199,3,3,2,3,2,3,3,3,2,3,3,2,2,3,3,3
200,4,3,4,3,4,4,3,4,4,2,2,3,3,2,3,1
201,6,5,5,5,5,6,4,5,5,5,6,4,4,4,4,1
202,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
203,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2
204,5,4,3,2,5,5,3,6,5,1,4,6,5,6,1,1
205,4,3,3,4,4,4,4,3,3,3,4,4,3,4,3,3
206,4,5,4,6,6,6,6,4,6,6,6,6,4,4,4,5
207,5,5,5,5,5,5,5,5,5,3,5,3,3,5,3,3
208,4,5,4,4,4,4,5,5,5,4,5,5,5,4,3,3
209,5,4,5,3,5,3,6,4,3,3,3,1,1,1,1,1
210,4,3,3,4,3,2,2,2,2,2,2,1,1,1,1,1
211,5,5,5,4,4,4,4,4,2,5,5,3,3,3,3,3
212,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
213,3,3,3,3,3,3,5,3,3,4,5,3,3,4,4,3
214,4,4,4,4,2,2,4,2,4,4,4,4,2,3,3,1
215,5,5,5,6,5,5,5,5,5,5,6,3,5,6,1,1
216,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3
217,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3
218,4,3,4,4,3,4,3,3,4,4,5,3,3,3,3,3
219,4,4,4,4,3,3,5,3,4,4,4,3,2,2,2,2
220,3,3,4,4,1,1,4,2,3,4,5,1,1,1,3,1
221,4,4,4,5,5,4,4,4,4,5,5,4,3,5,2,2
222,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2,2
223,5,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4
224,5,4,4,4,4,4,4,4,5,4,6,4,4,4,3,3
225,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
226,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,4
227,4,3,4,4,4,5,5,5,5,5,5,4,4,5,4,4
228,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3
229,3,3,3,3,3,3,3,4,3,2,3,2,2,2,2,1
230,2,2,2,4,2,1,5,5,2,1,4,1,1,4,4,1
231,5,2,5,5,2,2,2,5,2,2,2,2,2,2,1,1
232,3,4,3,2,2,1,1,1,3,4,3,3,2,3,1,1
233,5,4,5,4,5,3,5,5,4,5,6,4,4,4,4,3
234,4,3,4,3,4,4,4,3,4,3,4,4,3,4,4,4
235,3,3,3,4,2,2,4,5,2,2,3,3,2,4,2,2
236,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
237,3,3,3,3,3,3,5,2,2,5,3,2,2,2,5,2
238,5,1,4,4,2,2,4,4,4,3,3,3,3,3,3,3
239,6,3,4,4,5,5,3,4,4,3,2,5,5,4,4,3
240,4,3,3,4,3,2,5,4,4,5,5,4,3,4,3,2
241,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
242,4,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3
243,6,6,6,5,4,3,5,4,4,4,6,5,3,5,2,1
244,4,4,4,4,2,2,2,3,3,5,4,2,1,2,1,1
245,1,5,2,3,4,3,3,2,4,4,3,2,5,3,6,5
246,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
247,5,4,5,6,5,4,5,4,5,5,3,4,3,2,3,3
248,4,1,1,4,1,1,4,1,4,4,5,1,1,2,1,1
249,2,2,2,4,2,3,5,2,3,4,3,4,2,5,2,2
250,3,3,3,3,3,3,5,3,3,4,3,3,3,3,3,3
251,3,4,4,5,5,3,4,3,4,4,4,3,3,5,4,4
252,2,2,2,3,2,2,5,2,3,3,5,2,2,3,3,2
253,4,4,4,4,4,4,5,5,4,5,3,3,3,3,3,6
254,3,3,3,3,3,2,4,3,2,3,4,1,1,1,3,2
255,3,3,3,5,3,5,5,3,5,5,5,2,3,3,2,2
256,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2
257,5,4,4,2,5,5,3,3,4,2,5,3,3,4,3,2
258,2,2,2,2,3,4,3,3,3,3,3,4,2,4,2,4
259,4,3,3,3,4,5,6,6,5,6,6,6,4,4,3,6
260,3,3,4,3,4,4,4,3,5,4,4,5,4,4,5,4
261,4,4,4,3,4,4,4,5,5,5,5,5,4,4,4,4
262,3,3,3,3,3,4,3,3,4,3,4,4,4,4,4,3
263,2,5,2,2,5,5,5,2,4,5,6,3,2,2,2,2
264,4,4,5,4,4,4,5,4,6,6,6,5,4,4,3,3
265,4,3,4,4,4,4,4,4,3,4,3,4,3,3,3,2
266,5,5,5,5,5,5,4,2,5,5,6,3,3,4,1,1
267,3,2,2,3,3,4,3,2,2,4,4,3,3,4,2,2
268,4,5,4,1,6,6,5,6,6,6,5,5,4,5,6,6
269,4,4,3,4,4,6,4,3,6,3,5,3,4,4,3,3
270,5,5,5,5,5,5,5,5,5,5,6,5,4,5,4,5
271,5,6,4,6,4,3,4,2,5,4,6,5,3,4,5,4
272,5,5,4,3,5,6,2,5,5,3,3,5,5,5,3,6
273,4,4,4,3,4,4,3,3,4,4,4,4,3,3,3,3
274,5,5,5,6,3,4,4,5,4,3,6,4,4,4,5,5
275,4,4,4,4,5,3,3,5,4,4,4,3,3,3,4,4
276,3,3,4,3,4,6,6,6,4,6,5,1,4,1,6,6
277,5,5,5,6,5,6,6,4,6,4,6,4,6,6,4,6
278,3,3,3,3,4,4,4,4,5,3,3,4,4,5,4,3
279,4,3,6,2,2,2,2,2,5,3,2,2,3,5,3,3
280,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
281,4,5,5,5,5,4,3,3,5,3,3,3,4,4,2,2
282,5,4,5,6,5,4,5,5,6,5,5,6,5,5,6,6
283,3,4,3,4,3,4,5,5,5,4, ,3,4,4,5,4
284,4,4,4,5,3,4,5,3,4,5,5,3,3,3,3,1
285,2,2,1,4,2,1,5,2,5,5,6,5,3,4,2,1
286,3,2,2,4,2,2,5,3,3,4,5,2,2,2,3,1
287,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4
288,2,2,2,2,2,2,4,2,2,2,4,2,2,2,2,2
289,5,5,5,6,5,4,4,5,5,4,4,4,4,4,4,4
290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
291,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3
292,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,3
293,1,4,4,6,2,2,4,1,1,6,6,1,1,6,1,1
294,3,3,3,4,3,3,6,4,4,3,4,3,3,3,4,3
295,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
296,4,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3
297,6,4,2,4,1,1,6,2,3,5,5,3,3,3,2,1
298,5,5,3,5,4,2,5,2,4,5,5,2,2,2,2,2
299,2,2,2,2,2,2,3,2,2,3,3,2,1,1,1,1
300,4,4,3,2,3,2,4,3,3,4,3,3,3,4,3,3
301,2,2,2,2,1,3,2,2,1,2,1,1,1,1,1,1
302,3,3,3,3,3,3,3,3,4,4,4,3,3,4,4,4
303,5,5,5,5,2,2,4,6,6,6,6,6,2,4,6,6
304,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3
305,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,1
306,5,5,5,3,3,4,4,3,3,5,6,3,3,4,2,4
307,6,6,5,6,4,3,2,4,3,4,5,4,3,6,4,2
308,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
309,4,5,5,4,5,5,4,5,5,4,5,4,5,5,5,5
310,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
311,4,4,5,5,5,6,6,3,6,6,6,5,4,5,3,4
312,5,4,4,3,4,5,3,4,4,3,4,4,3,4,2,2
313,3,3,4,2,3,3,3,3,3,3,4,4,5,5,4,4
314,4,4,5,4,4,4,6,4,4,4,4,3,3,5,5,2
315,6,6,5,5,6,6,4,4,5,6,6,5,5,6,4,4
316,4,4,4,3,4,4,2,3,4,4,5,4,2,5,2,2
317,5,3,3,3,4,5,6,4,4,6,6,4,3,5,2,2
318,5,5,3,5,5,5,2,1,3,5,3,5,4,3,4,1
319,2,2,2,2,2,2,2,3,2,2,2,2,2,4,2,2
320,6,6,6,6,5,5,4,6,5,4,3,4,5,5,5,5
321,5,5,5,6,6,6,6,3,4,2,3,3,2,2,1,4
322,5,5,5,3,3,5,2,2,3,2,3,2,2,3,2,1
323,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4
324,4,3,4,3,4,5,5,4,6,3,3,5,3,3,3,3
325,5,4,5,4,5,5,4,5,5,4,4,5,5,5,4,6
326,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
327,4,4,4,4,4,3,3,3,4,3,2,2,2,3,3,3
328,3,3,3,3,6,5,5,6,5,1,3,3,3,3,4,1
329,2,2,4,4,4,2,2,2,4,2,2,3,2,2,2,2
330,3,3,3,3,3,2,5,2,4,4,6,3,2,5,3,1
331,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
332,4,3,3,4,4,4,5,4,5,4,3,4,3,5,3,3
333,4,4,4,5,5,3,5,4,5,5,5,3,3,3,4,2
334,5,5,5,1,2,2,2,4,3,5,5,2,2,3,2,2
